wetland	bins	bin_length	num_contigs	N50	GC_content	Completeness	Contamination	Strain heterogeneity	domain	phylum	class	order	family	genus	species	metaG_T0_rpkm	metaG_anoxicT1_rpkm	metaG_anoxicT2_rpkm	metaG_anoxicT3_rpkm	metaG_anoxicT4_rpkm	metaG_oxicT1_rpkm	metaG_oxicT2_rpkm	metaG_oxicT3_rpkm	metaG_oxicT4_rpkm	metaT_T0_RPKM	metaT_oxicT1_rpkm	metaT_oxicT2_rpkm	metaT_anoxicT1_rpkm	metaT_anoxicT2_rpkm
Peat	bin_108	2161458	208	16815	68.06763514	90.95	4.6	14.29	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__UBA2241	f__UBA2241	g__FEN-672	s__	0.022	0.022	0.028	0.601	0.586	0.013	0.019	0.548	0.391	0.0768	0.1357	0.2347	0.2131	0.1767
Peat	bin_109	1829774	418	4473	70.34369383	60.06	0.12	100	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Palsa-739	s__	0.069	0.091	0.112	0.025	0.012	0.211	0.129	0.048	0.022	0.0015	0.0136	0.0120	0.0077	0.0036
Peat	bin_11	2493893	283	11674	33.86335587	90.89	3.6	80	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__	0.015	0.022	0.014	0.362	0.331	0.008	0.006	0.260	0.267	0.0006	0.0004	0.0008	0.0042	0.0013
Peat	bin_110	575971	63	11362	39.35624059	68.25	2.45	50	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__GWA1-40-21	g__Bog-1340	s__	0.000	0.000	0.000	0.019	0.557	0.000	0.000	0.009	0.012	0.0000	0.0000	0.0000	0.0000	0.0000
Peat	bin_111	2915131	615	4993	68.5397677	51.65	3.8	16.67	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Fen-181	g__FEN-299	s__	0.033	0.028	0.045	0.074	0.178	0.026	0.017	0.061	0.049	0.0350	0.0474	0.0446	0.0198	0.0376
Peat	bin_112	1969735	258	9059	51.74073578	87.64	3.88	77.78	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__	0.001	0.001	0.000	0.065	0.025	0.000	0.000	0.159	0.265	0.0002	0.0002	0.0002	0.0002	0.0005
Peat	bin_113	2375396	85	61496	68.69387096	71.72	8.62	71.43	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__CAIUMH01	s__	0.051	0.058	0.047	0.015	0.010	0.653	0.476	0.147	0.178	0.0162	0.1502	0.1388	0.0269	0.0184
Peat	bin_114	4943221	319	24856	35.05523383	95.08	2.73	0	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__	0.007	0.001	0.001	1.511	1.274	0.001	0.000	0.003	0.001	0.0015	0.0006	0.0002	0.0012	0.0037
Peat	bin_115	573288	83	8130	45.12341757	66.86	2.25	50	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__Zambryskibacteraceae	g__CAIOTC01	s__	0.008	0.006	0.003	0.066	0.456	0.003	0.002	0.023	0.030	0.0333	0.0332	0.0251	0.0320	0.0424
Peat	bin_116	3078306	706	4379	67.45864225	51.69	1.85	25	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-610	g__	s__	0.063	0.064	0.071	0.006	0.003	0.130	0.090	0.013	0.007	0.0005	0.0015	0.0010	0.0010	0.0004
Peat	bin_117	3942458	540	8623	62.97704391	67.9	5.22	14.29	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Bryobacteraceae	g__CAIVVT01	s__	0.092	0.075	0.045	0.039	0.061	0.059	0.048	0.076	0.078	0.0504	0.0499	0.0609	0.0350	0.0517
Peat	bin_118	4150838	1066	3816	59.47998554	51.35	3.87	14.29	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__JADLEL01	s__	0.028	0.036	0.043	0.067	0.091	0.032	0.038	0.082	0.078	0.0072	0.0061	0.0065	0.0091	0.0043
Peat	bin_119	1102559	110	11874	35.52973841	61.75	1.2	100	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__	0.071	0.121	0.106	1.938	1.183	0.039	0.030	1.162	1.195	0.0025	0.0039	0.0038	0.0305	0.0100
Peat	bin_12	3079958	639	5210	68.5339824	78.9	3.42	50	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__Fen-671	s__	0.045	0.044	0.050	0.092	0.091	0.032	0.043	0.137	0.075	0.0006	0.0017	0.0029	0.0025	0.0014
Peat	bin_120	2544023	256	12453	61.93471957	74.18	2.06	44.44	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__	0.014	0.091	0.191	0.222	0.045	0.047	0.099	0.090	0.041	0.0004	0.0009	0.0008	0.0026	0.0007
Peat	bin_121	5371244	381	22475	39.81343056	92.2	5.38	54.55	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prolixibacteraceae	g__UBA6024	s__	0.006	0.004	0.006	5.203	6.785	0.003	0.001	1.859	0.480	0.0419	0.1001	0.0840	0.0728	0.1588
Peat	bin_122	3691515	381	13256	37.48550709	81.67	4.52	66.67	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__	s__	0.004	0.002	0.001	0.361	4.448	0.001	0.001	0.004	0.002	0.0003	0.0002	0.0001	0.0002	0.0005
Peat	bin_123	3496542	90	65223	40.03645509	90.01	2.02	57.14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__	0.133	0.042	0.015	0.873	1.006	0.026	0.012	0.382	0.589	0.0119	0.0083	0.0149	0.0186	0.0292
Peat	bin_124	1255825	240	5695	54.29420276	58.69	0	0	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__RBG-13-51-18	s__	0.027	0.016	0.006	0.082	0.203	0.005	0.002	0.045	0.032	0.0012	0.0008	0.0007	0.0006	0.0011
Peat	bin_125	5197043	1398	3603	65.2962918	53.19	9.86	40.54	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__	0.013	0.099	0.176	0.123	0.038	0.025	0.105	0.108	0.045	0.0024	0.0034	0.0036	0.0061	0.0028
Peat	bin_126	3333119	862	3865	61.14743136	58.35	9.73	11.11	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__SZUA-6	f__Fen-1364	g__Fen-1364	s__	0.014	0.010	0.009	0.121	0.151	0.003	0.003	0.070	0.078	0.0019	0.0020	0.0022	0.0023	0.0028
Peat	bin_13	3610729	345	13792	38.69088248	84.53	2.42	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__	0.030	0.009	0.003	0.193	0.244	0.007	0.002	0.094	0.149	0.0090	0.0078	0.0076	0.0072	0.0137
Peat	bin_14	3011381	253	17851	42.0432443	93.42	5.74	18.75	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__Fen-1298	s__	0.085	0.016	0.005	0.118	0.220	0.009	0.005	0.085	0.179	0.0256	0.0179	0.0171	0.0120	0.0248
Peat	bin_15	4018171	33	211899	40.90843625	98.6	0	0	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__	s__	0.002	0.000	0.001	3.166	3.828	0.001	0.001	0.021	0.002	0.0225	0.0187	0.0247	0.0156	0.0287
Peat	bin_16	2914821	644	4646	72.14111644	53.74	1.65	0	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__CAIXRL01	s__	0.011	0.010	0.021	0.153	0.199	0.011	0.011	0.179	0.119	0.0017	0.0009	0.0015	0.0011	0.0020
Peat	bin_17	730477	82	11158	43.90801641	66.12	1.65	100	d__Bacteria	p__Patescibacteria	c__Doudnabacteria	o__UBA920	f__VMFF01	g__	s__	0.001	0.001	0.001	0.159	0.131	0.001	0.002	0.368	0.102	0.1148	0.1422	0.1447	0.0792	0.1360
Peat	bin_18	4548751	576	9897	52.21493524	85.29	3.62	50	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__PNOM01	s__	0.029	0.024	0.007	0.255	0.448	0.009	0.009	0.231	0.358	0.1509	0.1737	0.1811	0.1399	0.2108
Peat	bin_19	2567078	438	6446	48.53507274	66.32	3.39	14.29	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__JAGVPT01	s__	0.148	0.074	0.015	0.112	0.134	0.030	0.033	0.115	0.087	0.0464	0.0344	0.0286	0.0128	0.0255
Peat	bin_2	3519872	524	7713	65.72239356	73.15	1.42	33.33	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__JAKACA01	s__	0.018	0.035	0.057	0.042	0.032	0.040	0.077	0.106	0.057	0.0006	0.0015	0.0016	0.0006	0.0008
Peat	bin_20	3388646	100	49764	42.24230092	95.08	1.76	0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__	0.005	0.002	0.001	0.183	0.318	0.001	0.001	0.061	0.150	0.0006	0.0004	0.0006	0.0007	0.0015
Peat	bin_21	2440613	401	6985	68.67350957	79.13	4.02	33.33	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__Fen-455	s__	0.090	0.090	0.096	0.032	0.020	0.095	0.118	0.052	0.045	0.0015	0.0047	0.0065	0.0051	0.0028
Peat	bin_22	3030776	617	5198	69.60871715	66.22	4.51	11.11	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__UBA2241	f__UBA2241	g__Bog-752	s__	0.036	0.146	0.292	0.142	0.068	0.038	0.182	0.192	0.079	0.0023	0.0046	0.0143	0.0183	0.0112
Peat	bin_23	4338450	242	33383	55.42028909	94.15	1.88	28.57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae	g__	s__	0.033	0.023	0.013	0.007	0.003	0.488	0.374	0.139	0.156	0.0038	0.0556	0.0213	0.0013	0.0007
Peat	bin_24	3782759	155	32420	57.80427841	86.49	5.98	11.11	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Acidoferrales	f__UBA7541	g__Palsa-360	s__	0.278	0.301	0.253	0.070	0.042	0.224	0.228	0.085	0.041	0.0351	0.0540	0.0355	0.0594	0.0370
Peat	bin_25	4178602	303	19161	39.56573899	93.33	1.99	40	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prolixibacteraceae	g__JAAFHB01	s__	0.003	0.002	0.005	0.219	0.770	0.000	0.000	0.002	0.000	0.0010	0.0004	0.0003	0.0013	0.0025
Peat	bin_26	3366821	416	9397	34.13350381	82.72	3.56	58.33	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__CAINEZ01	s__	0.002	0.001	0.001	0.326	0.522	0.000	0.000	0.159	0.309	0.0035	0.0039	0.0030	0.0010	0.0026
Peat	bin_27	3715541	351	11700	71.22878948	58.62	4.31	0	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAHWKP01	g__	s__	0.124	0.138	0.109	0.013	0.007	0.223	0.164	0.030	0.017	0.0013	0.0041	0.0040	0.0013	0.0008
Peat	bin_28	4359469	452	10821	56.78425731	51.72	7.76	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Acidoferrales	f__UBA7541	g__Acidoferrum	s__	0.228	0.285	0.311	0.064	0.045	0.292	0.364	0.114	0.067	0.0753	0.1056	0.0987	0.0749	0.0775
Peat	bin_29	2737588	748	3522	64.35904837	50.52	4.48	0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__	s__	0.093	0.069	0.055	0.019	0.012	0.141	0.094	0.029	0.064	0.0049	0.0098	0.0033	0.0023	0.0016
Peat	bin_3	741005	57	17847	57.96766303	52.75	0	0	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__JACQBO01	s__	0.003	0.002	0.002	0.089	1.161	0.002	0.001	0.079	0.083	0.0001	0.0001	0.0001	0.0002	0.0001
Peat	bin_30	3943791	50	252732	52.6105795	94.52	1.64	0	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__UBA9647	s__	0.106	0.041	0.027	0.610	1.058	0.025	0.021	0.959	0.336	0.0317	0.0441	0.0466	0.0161	0.0523
Peat	bin_31	3559158	116	53653	66.91162629	98.14	0.47	0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__Usitatibacter	s__	0.091	0.095	0.104	0.052	0.036	0.206	0.111	0.060	0.058	0.1116	0.1257	0.0998	0.0344	0.0309
Peat	bin_32	4287125	322	19511	72.78703925	85.16	1.65	0	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__CAIXRL01	s__	0.003	0.003	0.005	0.068	0.301	0.003	0.003	0.177	0.280	0.0090	0.0119	0.0130	0.0193	0.0129
Peat	bin_33	3421855	71	88048	42.48287788	92.16	1.61	0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__	0.053	0.013	0.004	0.172	0.300	0.006	0.002	0.110	0.119	0.0049	0.0028	0.0029	0.0043	0.0095
Peat	bin_34	4115525	245	30288	60.76779877	91.04	7.49	50	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA6906	g__Fen-1273	s__	0.230	0.164	0.098	0.163	0.145	0.089	0.080	0.192	0.174	0.0173	0.0151	0.0196	0.0147	0.0225
Peat	bin_35	5071333	397	17869	61.52485662	86.5	3.72	43.48	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__	0.334	0.873	1.101	0.659	0.205	0.853	0.811	0.265	0.161	0.0020	0.0108	0.0060	0.0075	0.0020
Peat	bin_36	3683306	262	25755	68.27675743	89.41	1.71	50	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__UBA5066	g__	s__	0.264	0.229	0.237	0.037	0.048	0.292	0.275	0.160	0.087	0.0295	0.0439	0.0539	0.0315	0.0276
Peat	bin_37	3490044	468	9338	61.28613962	54.89	0	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__	0.119	0.092	0.086	0.220	0.301	0.059	0.118	0.558	0.968	0.1771	0.2862	0.2694	0.2079	0.2199
Peat	bin_38	3522367	463	11325	46.11975644	84.99	9.29	86.96	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__SZUA-254	g__JACOSX01	s__	0.112	0.071	0.032	0.149	0.208	0.040	0.035	0.311	0.401	0.0141	0.0123	0.0110	0.0072	0.0095
Peat	bin_39	2960739	126	36893	44.16824662	98.34	4.64	0	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__	s__	0.077	0.012	0.004	0.234	0.701	0.010	0.006	0.064	0.140	0.0203	0.0195	0.0172	0.0128	0.0249
Peat	bin_4	2801175	664	4264	64.87312546	53.42	4.7	83.33	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Methylomirabilales	f__2-02-FULL-66-22	g__2-02-FULL-66-22	s__	0.123	0.078	0.055	0.067	0.093	0.057	0.025	0.076	0.077	0.0083	0.0042	0.0033	0.0068	0.0049
Peat	bin_40	2549123	421	6916	72.46694878	63.39	0	0	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__JACORV01	g__JADGQW01	s__	0.013	0.011	0.017	0.054	0.092	0.010	0.010	0.190	0.137	0.0016	0.0018	0.0029	0.0015	0.0037
Peat	bin_41	551094	60	12062	37.99922426	59.62	2.86	37.5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__	0.002	0.001	0.000	0.143	0.171	0.000	0.000	0.133	0.105	0.0061	0.0066	0.0067	0.0028	0.0081
Peat	bin_42	817873	99	9086	56.32571262	57.16	0.92	100	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__JACQBO01	s__	0.001	0.001	0.000	0.096	0.242	0.000	0.000	0.149	0.110	0.0113	0.0097	0.0101	0.0099	0.0129
Peat	bin_43	1392708	182	9472	56.90139175	81.88	3.66	33.33	d__Bacteria	p__Margulisbacteria	c__WOR-1	o__O2-12-FULL-45-9	f__XYB2-FULL-48-7	g__JAFGHC01	s__	0.051	0.040	0.039	0.092	0.097	0.028	0.025	0.110	0.150	0.1007	0.0992	0.1103	0.0944	0.1507
Peat	bin_44	3398737	306	16272	61.56011143	83.18	3.77	15	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__	0.115	0.536	0.950	0.807	0.262	0.332	0.552	0.415	0.179	0.0012	0.0046	0.0023	0.0071	0.0013
Peat	bin_45	1921974	430	4569	47.63109434	62.36	3.83	0	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__PNOF01	s__	0.032	0.017	0.004	0.116	0.300	0.009	0.003	0.078	0.138	0.0019	0.0004	0.0004	0.0011	0.0010
Peat	bin_46	3018083	619	5244	66.07436546	64.54	5.84	7.69	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Palsa-881	s__	0.028	0.023	0.017	0.003	0.001	0.361	0.162	0.008	0.013	0.0053	0.0227	0.0194	0.0028	0.0061
Peat	bin_47	3193078	551	6441	44.93468104	72.75	1.99	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Puia	s__	0.059	0.058	0.023	0.008	0.004	0.133	0.096	0.027	0.051	0.0124	0.0492	0.0407	0.0059	0.0101
Peat	bin_48	539629	76	9638	36.93890123	58.5	1.57	30.77	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__	0.015	0.005	0.002	0.175	0.154	0.003	0.001	0.053	0.095	0.0202	0.0216	0.0194	0.0113	0.0270
Peat	bin_49	3045026	588	5723	66.07911905	73.87	2.82	33.33	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA9160	g__UBA9160	s__	0.083	0.113	0.123	0.039	0.028	0.122	0.093	0.047	0.022	0.0020	0.0032	0.0021	0.0017	0.0009
Peat	bin_5	3595788	674	5949	51.03393285	70.63	0	0	d__Bacteria	p__Desulfobacterota	c__RBG-13-43-22	o__RBG-13-43-22	f__RBG-13-43-22	g__	s__	0.037	0.096	0.086	0.019	0.009	0.026	0.098	0.017	0.010	0.0006	0.0015	0.0079	0.0036	0.0018
Peat	bin_50	3237576	61	90771	58.61337358	96.63	4.49	25	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__	0.002	0.001	0.005	0.805	0.270	0.001	0.000	0.309	0.435	0.0096	0.0030	0.0028	0.0040	0.0171
Peat	bin_51	1636757	239	8778	47.45025562	83.98	0.07	0	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__CADDZS01	g__CADDZS01	s__	0.051	0.018	0.004	0.125	0.165	0.008	0.004	0.134	0.162	0.0034	0.0032	0.0026	0.0020	0.0025
Peat	bin_52	2887202	61	71210	36.6389738	98.03	1.07	25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__	0.000	0.002	0.030	0.298	0.091	0.001	0.010	0.668	0.553	0.0102	0.0687	0.0734	0.0071	0.0286
Peat	bin_54	3045548	651	4887	60.86061166	64.15	5	47.37	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodomicrobiaceae	g__Rhodomicrobium	s__	0.014	0.068	0.124	0.108	0.020	0.024	0.066	0.037	0.020	0.0018	0.0058	0.0049	0.0102	0.0019
Peat	bin_55	3335123	637	5804	46.74007025	76.26	8.02	28.57	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Puia	s__	0.045	0.067	0.031	0.017	0.012	0.060	0.062	0.062	0.099	0.0015	0.0089	0.0035	0.0016	0.0006
Peat	bin_56	2456129	336	9278	53.0598832	74.07	1.12	100	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__	0.001	0.001	0.001	0.217	0.326	0.000	0.000	0.288	0.258	0.0128	0.0041	0.0063	0.0126	0.0142
Peat	bin_57	2627192	625	4045	65.08516627	53.45	5.17	0	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Rhodoblastus	s__	0.119	0.277	0.403	0.066	0.027	0.268	0.294	0.097	0.043	0.0033	0.0055	0.0053	0.0078	0.0025
Peat	bin_58	3513315	247	20431	36.94634152	94.62	1.88	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__CAINEZ01	s__	0.007	0.003	0.003	0.389	0.293	0.002	0.001	0.064	0.455	0.0010	0.0002	0.0003	0.0008	0.0019
Peat	bin_59	2113412	439	5112	41.20766619	60.86	1.1	0	d__Bacteria	p__UBP4	c__UBA4092	o__UBA4092	f__UBA4092	g__	s__	0.056	0.021	0.005	0.090	0.090	0.012	0.004	0.057	0.067	0.0037	0.0038	0.0016	0.0023	0.0016
Peat	bin_6	694705	118	6333	53.95535443	58.24	1.87	66.67	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Anstonellales	f__Bilamarchaeaceae	g__Bilamarchaeum	s__	0.048	0.031	0.013	0.140	0.122	0.021	0.014	0.106	0.086	0.0007	0.0003	0.0001	0.0000	0.0003
Peat	bin_60	3831426	708	6090	69.10760048	55.26	1.75	0	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Holophaga	s__	0.036	0.045	0.096	0.220	0.230	0.022	0.027	0.160	0.316	0.0382	0.0376	0.0329	0.0684	0.0441
Peat	bin_61	782854	121	7180	33.40022173	57.72	4.55	14.29	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__GWA1-40-21	g__Bog-1340	s__	0.001	0.000	0.000	0.320	0.183	0.000	0.000	0.068	0.008	0.0004	0.0008	0.0004	0.0007	0.0006
Peat	bin_62	4541710	412	13568	57.26040017	62.23	1.72	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Koribacteraceae	g__	s__	0.082	0.099	0.082	0.041	0.035	0.030	0.091	0.052	0.094	0.0094	0.0090	0.0282	0.0166	0.0220
Peat	bin_63	2019974	230	11066	66.14091301	90.83	2.92	18.18	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__OPB41	f__JAAXUF01	g__	s__	0.027	0.059	0.137	0.073	0.068	0.039	0.061	0.119	0.080	0.0010	0.0019	0.0023	0.0057	0.0034
