wetland	bins	metaG_T0	metaG_T1_anoxic	metaG_T2_anoxic	metaG_T3_anoxic	metaG_T4_anoxic	metaG_T1_oxic	metaG_T2_oxic	metaG_T3_oxic	metaG_T4_oxic	metaT_T0	metaT_T1_oxic	metaT_T2_oxic	metaT_T1_anoxic	metaT_T2_anoxic	GC_content	Completeness	Contamination	Strain heterogeneity	domain	phylum	class	order	family	genus	species
peat	bin_122	1455.293	1244.966658	911.06	152022.74	2128833.28	424.3933333	197.0066667	2339.526667	795.0266667	207.7533333	93.06	68.7	117.7	397.06	37.48550709	81.67	4.52	66.67	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__	s__
peat	bin_123	48552.013	31457.82	9595.82	348521.2133	455880.7533	10357.82	4347.58	195923.8333	281410.32	7211.48	4371.22	10076.22667	10472.39333	20236.37333	40.03645509	90.01	2.02	57.14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__
peat	bin_124	3540.407	4347.799996	1279.926667	11732.03333	32984.76	775.7066667	314.2333333	8304.426667	5512.846667	254.32	150.4333333	172.2533333	119.8266667	273.88	54.29420276	58.69	0	0	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__RBG-13-51-18	s__
peat	bin_125	7262.333	109660.8667	162651.2933	72699.22	25477.83333	14481.18	57054.29333	82363.36667	32014.34667	2137.646667	2648.533333	3626.04	5089.453333	2842.146667	65.2962918	53.19	9.86	40.54	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
peat	bin_126	4793.613	6856.880008	5353.026667	46143.25333	65204.46	1202.253333	1064.18	34413.92667	35702.28667	1121.66	1029.653333	1408.06	1229.86	1878.76	61.14743136	58.35	9.73	11.11	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__SZUA-6	f__Fen-1364	g__Fen-1364	s__
peat	bin_13	11161.053	7036.099999	2001.32	79444.28	114179.52	2781.72	862.76	49946.17333	73705.14	5610.56	4280.833333	5289.553333	4201.266667	9770.6	38.69088248	84.53	2.42	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__
peat	bin_14	26561.3	10640.9	2467.486667	40637.60667	85987.84	3217.233333	1556.46	37645.75333	73775.61333	13370.91333	8123.36	9964.68	5845.12	14801.20667	42.0432443	93.42	5.74	18.75	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__Fen-1298	s__
peat	bin_15	644.813	408.7933413	498.7066667	1452215.32	1994236.407	396.5733333	313.68	12586.52667	968.78	15694.60667	11334.42667	19209.38	10105.42667	22846.94667	40.90843625	98.6	0	0	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__	s__
peat	bin_16	3457.447	6163.940003	10761.84	50901.26	75197.83333	3581.9	3416.94	76401.28	47214.79333	867.2933333	382.0733333	823.8533333	517.0466667	1181.18	72.14111644	53.74	1.65	0	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__CAIXRL01	s__
peat	bin_17	103.227	160.0066673	176.2533333	13236.50667	12431.95333	68.32	177.2666667	39451.16	10161.20667	14539.14	15689.4	20439.75333	9335.413333	19660.02	43.90801641	66.12	1.65	100	d__Bacteria	p__Patescibacteria	c__Doudnabacteria	o__UBA920	f__VMFF01	g__	s__
peat	bin_18	13977.46	23583.35333	5775.86	132487.5	264091.5533	4781.06	4160.566667	153923.62	222530.56	119047.64	119328.9533	159352.1	102701.52	189713.7467	52.21493524	85.29	3.62	50	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__PNOM01	s__
peat	bin_19	39735.893	40850.67334	6774.793333	32700.66	44651.57333	8733.846667	8848.813333	43342.63333	30457.62	20654.1	13351.42	14210.16667	5287.193333	12960.35333	48.53507274	66.32	3.39	14.29	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__JAGVPT01	s__
peat	bin_2	6735.253	26709.93999	35927.68667	17069.12	14662.86	15864.70667	28510.16	54882.66	27302.62667	342.8133333	802.2	1066.373333	368.1133333	533.06	65.72239356	73.15	1.42	33.33	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__JAKACA01	s__
peat	bin_20	1598.2	1134.059994	406.1	70737.41333	139755.8533	220.8866667	196.68	30357.84	69181.08	363.2133333	226.6933333	399.4666667	386.6466667	1006.506667	42.24230092	95.08	1.76	0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__
peat	bin_21	22869.127	47308.70001	41552.04667	8968.986667	6188.466667	26239.09333	30000.82667	18703.89333	14890.18	633.5666667	1726.993333	3058.813333	2008.24	1348.46	68.67350957	79.13	4.02	33.33	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__Fen-455	s__
peat	bin_22	11360.1	94870.58667	157356.9333	49258.62	26785.24667	13129	57698.96	85593.36667	32521.82	1227.433333	2128.133333	8390.806667	8933.8	6731.973333	69.60871715	66.22	4.51	11.11	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__UBA2241	f__UBA2241	g__Bog-752	s__
peat	bin_23	14833.74	21401.00667	9763.873333	3534.886667	1423.773333	239416.36	169773.6	88352.92	92361.24	2861.706667	36446.04	17893.20667	882.4466667	593.92	55.42028909	94.15	1.88	28.57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae	g__	s__
peat	bin_24	109600.287	243791.5467	170126.5	30419.81333	20682.46667	95711.96	89957.76667	47248.85333	21065.63333	23052.60667	30865.22	25976.88667	36282.28667	27699.54	57.80427841	86.49	5.98	11.11	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Acidoferrales	f__UBA7541	g__Palsa-360	s__
peat	bin_25	1353.9	1482.066669	3463.68	104665.74	417235.22	160.4933333	75.36	933.24	223.24	719.12	229.2666667	251.5266667	849.9466667	2087.22	39.56573899	93.33	1.99	40	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prolixibacteraceae	g__JAAFHB01	s__
peat	bin_26	746.773	532.0400031	361.62	125220.1533	227868.72	175.0266667	77.28	78413.27333	142291.02	2048.046667	2001.166667	1962.42	535.52	1711.573333	34.13350381	82.72	3.56	58.33	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__CAINEZ01	s__
peat	bin_27	48203.827	109966.72	71876.83333	5437.946667	3498.48	93569.58	63869.93333	16284.25333	8667.986667	837.08	2314.34	2891.18	770.2266667	615.6866667	71.22878948	58.62	4.31	0	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAHWKP01	g__	s__
peat	bin_28	103467.173	266168.2867	240542.5667	31910.62667	25364.99333	144092.0333	166042.5267	72652.26667	39664.08	56935.12	69565.80667	83220.3	52728.78667	66832.74	56.78425731	51.72	7.76	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Acidoferrales	f__UBA7541	g__Acidoferrum	s__
peat	bin_29	26516.753	40718.88667	26590.39333	5828.8	4377.646667	43621.46667	26912.9	11526.98	23987.26	2336.733333	4061.066667	1747.26	1019.173333	870.4866667	64.35904837	50.52	4.48	0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__	s__
peat	bin_3	258.82	319.3066671	225.9866667	7514.926667	111574.8267	129.6933333	111.9266667	8634.673333	8361.206667	12.54666667	12.24	15.92666667	24.5	15.64	57.96766303	52.75	0	0	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__JACQBO01	s__
peat	bin_30	43651.78	34529.03333	18868.82667	274804.2533	540955.92	11183.38	8843.433333	555226.96	181099.56	21683.40667	26285.5	35561.75333	10257.75333	40783.98667	52.6105795	94.52	1.64	0	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__UBA9647	s__
peat	bin_31	33713.447	72163.21333	65624.64667	21064.52667	16646.47333	82827.98667	41353.73333	31210.11333	28095.00667	68886.84	67593.08667	68703.72	19735.15333	21753.83333	66.91162629	98.14	0.47	0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__Usitatibacter	s__
peat	bin_32	1408.48	2621.753338	3703.533333	33103.85333	167259.96	1628.62	1520.433333	111238.7467	164110.9467	6716.013333	7689.78	10799.06	13346.12	10967.44	72.78703925	85.16	1.65	0	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__CAIXRL01	s__
peat	bin_33	19052.767	9384.233327	2707.16	67036.16667	133090.56	2210.7	848.94	55417.19333	55728.70667	2921.453333	1433.073333	1915.013333	2389.5	6413.893333	42.48287788	92.16	1.61	0	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__VadinHA17	g__LD21	s__
peat	bin_34	98542.66	144368.7467	71688.08667	76709.1	77514.50667	41374.08	34625.8	116118.9333	98021.3	12324.37333	9380.633333	15589.6	9790.546667	18302.44	60.76779877	91.04	7.49	50	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA6906	g__Fen-1273	s__
peat	bin_35	176423.273	948423.6201	992214.7333	381765.9467	134523.06	489018.2067	430148.9667	197183.2533	111317.1267	1775.733333	8306.24	5845.466667	6138.753333	1996.033333	61.52485662	86.5	3.72	43.48	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
peat	bin_36	101474.487	180498.3333	154909.3	15592.46	23152.92	121507.2667	105937.0867	86461.36	43664.25333	18837.84	24398.75333	38395.93333	18719.46667	20123.15333	68.27675743	89.41	1.71	50	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__UBA5066	g__	s__
peat	bin_37	43229.773	68510.76667	53145.95333	87526.24667	135975.2933	23473.76667	43034.47333	285929.3067	461326.6267	107175.5333	150909.9533	181881.0933	117096.7267	151881.74	61.28613962	54.89	0	0	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__
peat	bin_38	41000.213	53430.77333	19884.28667	59770.57333	94819.70667	15827.36667	12851.98667	160758.88	192987.7	8585.173333	6554.12	7493.246667	4091.153333	6648.06	46.11975644	84.99	9.29	86.96	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__SZUA-254	g__JACOSX01	s__
peat	bin_39	23717.24	7372.833324	2151.52	78957.44667	269251.26	3398.333333	1967.626667	27981.2	56483.61333	10440.78	8708.893333	9834.253333	6094.6	14606.09333	44.16824662	98.34	4.64	0	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA10030	g__	s__
peat	bin_4	35928.127	46875.20666	27235.69333	21395.72	33606.18	17919.46	7330.42	31343.08	29382.88667	4015.186667	1756.733333	1797.62	3080.746667	2719.726667	64.87312546	53.42	4.7	83.33	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Methylomirabilales	f__2-02-FULL-66-22	g__2-02-FULL-66-22	s__
peat	bin_40	3395.493	5888.493333	7923.506667	15681.37333	30554.94667	2865.18	2637.553333	70973.36	47797.6	721.2533333	711.6533333	1413.04	631.7	1852.993333	72.46694878	63.39	0	0	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__JACORV01	g__JADGQW01	s__
peat	bin_41	121.567	91.18666584	39.17333333	8967.386667	12195.38	27.38	5.02	10718.3	7937.3	579.36	553.2466667	716.28	252.84	879.52	37.99922426	59.62	2.86	37.5	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__
peat	bin_42	69.533	96.50000104	70.94666667	8928.46	25651.68	41.64	35.88666667	17822.54	12289.93333	1597.553333	1193.82	1595.666667	1305.146667	2084.42	56.32571262	57.16	0.92	100	d__Bacteria	p__Patescibacteria	c__ABY1	o__SBBC01	f__CAIJZX01	g__JACQBO01	s__
peat	bin_43	7459.4	11930.49334	9716.78	14686.62	17451.90667	4477.886667	3637.56	22561.68	28500.2	24309.32	20862.83333	29724.80667	21220.73333	41520.44	56.90139175	81.88	3.66	33.33	d__Bacteria	p__Margulisbacteria	c__WOR-1	o__O2-12-FULL-45-9	f__XYB2-FULL-48-7	g__JAFGHC01	s__
peat	bin_44	40612.187	390373.4399	573266.4867	313175.54	115461.8067	127742.8267	195992.7667	206941.6133	83245.04667	683.3866667	2370.053333	1534.646667	3902.586667	870.46	61.56011143	83.18	3.77	15	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
peat	bin_45	6314.807	6876.280002	1413.646667	25426.45333	74768.30667	2045.073333	676.4	21963.96667	36173.2	618.0666667	124.56	144.2733333	336.5066667	377.22	47.63109434	62.36	3.83	0	d__Bacteria	p__Desulfobacterota_G	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__PNOF01	s__
peat	bin_46	8745.113	14686.66666	8896.22	896.2333333	568.1	123148.1733	51124.44	3716.506667	5526.706667	2787.74	10364.15333	11326.22	1351.373333	3670.593333	66.07436546	64.54	5.84	7.69	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Palsa-881	s__
peat	bin_47	19736.453	40012.76668	12847.24	2823.793333	1763.96	48194.51333	31922.04	12633.40667	22410.28667	6866.213333	23753.62	25140.47333	3027.433333	6398.92	44.93468104	72.75	1.99	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Puia	s__
peat	bin_48	816.007	540.6133337	222.9466667	10803.25333	10805.6	158.7733333	66.78666667	4221.446667	6972.76	1892.346667	1759.973333	2024.54	982.4466667	2887.68	36.93890123	58.5	1.57	30.77	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__
peat	bin_49	26238.54	73423.37332	66438.65333	13449.54	10901.16667	42111.85333	29561.5	20808.56667	8983.746667	1046.72	1477.306667	1233.993333	847.74	526.0466667	66.07911905	73.87	2.82	33.33	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA9160	g__UBA9160	s__
peat	bin_5	13873.7	73809.07334	55044.78667	7878.973333	4245.92	10546.71333	36992.09333	9150.02	4974.373333	396.9133333	811.6666667	5489.16	2112.826667	1281.74	51.03393285	70.63	0	0	d__Bacteria	p__Desulfobacterota	c__RBG-13-43-22	o__RBG-13-43-22	f__RBG-13-43-22	g__	s__
peat	bin_50	602.147	982.3866646	3076.113333	297494.3	113535.5733	215.5733333	158.7266667	146827.0133	192121.8667	5364.766667	1459.906667	1734.946667	2090.006667	10987.52	58.61337358	96.63	4.49	25	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__
peat	bin_51	8696.347	6400.093334	1121.42	23277.95333	35090.65333	1499.833333	712.42	32120.8	36272.72	975.2	779.86	831.8733333	521.6666667	803.6266667	47.45025562	83.98	0.07	0	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__CADDZS01	g__CADDZS01	s__
peat	bin_52	147.027	1511.54	15236.22	98352.20667	34026.54	442.94	2964.353333	282979.0467	218154.9267	5123.333333	29957.8	40974.46	3301.466667	16344.49333	36.6389738	98.03	1.07	25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__
peat	bin_54	4448.713	44467.43334	67250.51333	37711.17333	8005.88	8405.7	20926.7	16578.95333	8396.5	969.7466667	2671.74	2887.78	4995.24	1163.086667	60.86061166	64.15	5	47.37	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodomicrobiaceae	g__Rhodomicrobium	s__
peat	bin_55	15644.653	48165.42	18474.32	6576.2	5391.5	22588.86	21684.79333	30260.26	45119.89333	860.1266667	4474.526667	2278.56	836.9333333	382.3133333	46.74007025	76.26	8.02	28.57	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Puia	s__
peat	bin_56	341.2	484.1733367	286.34	60909.18667	103958.1467	81.17333333	62.29333333	103942.0333	86539.30667	5468.566667	1535.526667	2993.52	5000.326667	6886.24	53.0598832	74.07	1.12	100	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__
peat	bin_57	32584.62	155769.8267	188018.28	19791.22667	9229.153333	79777.58667	80854.63333	37323.03333	15571.26667	1514.34	2178.22	2709.586667	3327.24	1321.553333	65.08516627	53.45	5.17	0	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Rhodoblastus	s__
peat	bin_58	2684.22	2352.153337	2171.133333	155878.0133	133268.7	743.2133333	203.12	33053.92667	218099.7067	579.0466667	87.8	221.7	473.34	1314.133333	36.94634152	94.62	1.88	50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__CG2-30-32-10	g__CAINEZ01	s__
peat	bin_59	12354.067	9445.753335	1958.78	21695.96	24574.81333	2959.133333	866.7933333	17675.29333	19223.39333	1357.233333	1213.793333	647.48	779.2533333	654.78	41.20766619	60.86	1.1	0	d__Bacteria	p__UBP4	c__UBA4092	o__UBA4092	f__UBA4092	g__	s__
peat	bin_6	3500.993	4586.613335	1582.946667	11139.16667	10972.92	1641.173333	988.8666667	10850.18	8153.86	89.48666667	26.91333333	19.02	3.993333333	42.4	53.95535443	58.24	1.87	66.67	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Anstonellales	f__Bilamarchaeaceae	g__Bilamarchaeum	s__
peat	bin_60	14242.487	37156.12666	65377.67333	96059.98	114008.1867	9543.78	10719.12	89678.31333	165507.9067	25370.93333	21735.64667	24371.54667	42319.15333	33422.04	69.10760048	55.26	1.75	0	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Holophaga	s__
